dataset,exit_code,MaxMem_GB
cant,0,0.373524
pwtk,0,0.962337
offshore,0,0.364082
cage12,0,0.212776
scircuit,0,0.084316
wiki-Vote,0,0.021126
poisson3Da,0,0.037720
pdb1HYS,0,0.413395
rma10,0,0.210281
shipsec1,0,0.668411
consph,0,0.561100
filter3D,0,0.237019
mac_econ_fwd500,0,0.248554
af_shell10,0,4.214027
hood,0,0.871307
case39,0,0.106789
gupta3,0,0.620068
TSOPF_FS_b300_c2,0,0.824921
com-LiveJournal,0,5.769566
wikipedia-20070206,0,7.705204
