mtx_name                                 mm_time(ms)
Goodwin_030                              4.5541
crystk01                                 4.7937
rgg_n_2_15_s0                            4.6344
bcsstm36                                 4.3409
cegb2919                                 5.4658
mark3jac120                              5.3255
mark3jac120sc                            4.9446
crystm02                                 4.8723
usroads-48                               5.6760
goodwin                                  5.1057
EAT_SR                                   17.8120
EAT_RS                                   16.0432
pwt_id_880                               4.4015
pwt_id_762                               4.2026
pwt_id_1273                              3.6951
fe_body                                  4.7036
shallow_water2                           5.2803
shallow_water1                           4.6429
lpl1                                     18.2471
inlet                                    5.0500
shyy161                                  4.7845
usroads                                  7.3991
ckt11752_tr_0                            29.6734
ckt11752_dc_1                            31.1701
graham1                                  5.8658
me2010                                   7.3103
onetone1                                 5.8373
g7jac100                                 7.4097
g7jac100sc                               8.4833
ct2010                                   7.4861
Kuu                                      5.5958
gyro_m                                   7.1321
HEP-th                                   11.7275
a2nnsnsl                                 97.7862
cvxbqp1                                  5.2220
ncvxbqp1                                 4.7199
cond-mat-2005                            13.8913
poisson3Da                               10.0340
cit-HepTh                                11.5125
HEP-th-new                               11.9390
a0nsdsil                                 106.0400
c-53                                     41.3835
bcsstk38                                 5.6284
c-65                                     19.1252
email-Enron                              36.6492
garon2                                   5.3958
bcircuit                                 5.1776
mark3jac140sc                            6.0340
mark3jac140                              7.4151
k3plates                                 4.4958
lhr17                                    6.7107
vsp_south31_slptsk                       226.0400
vsp_model1_crew1_cr42_south31            209.1457
c-56                                     26.0309
ecl32                                    5.4768
viscoplastic2                            15.9497
lhr17c                                   7.8216
c-54                                     26.9513
delaunay_n16                             6.7442
nemeth02                                 4.1623
nemeth05                                 3.7387
nemeth04                                 4.1238
nemeth03                                 3.5967
nemeth06                                 3.9591
nemeth07                                 3.8692
nemeth08                                 4.2216
nemeth09                                 4.1625
ca-AstroPh                               23.8276
net25                                    27.4255
nemeth10                                 4.6402
c-57                                     111.0233
c-55                                     22.8523
mycielskian12                            22.4326
nemeth11                                 4.1577
sd2010                                   5.2594
cz40948                                  4.2647
g7jac120sc                               8.8802
g7jac120                                 8.8799
nv2010                                   9.4044
onera_dual                               4.7381
email-EuAll                              54.4755
cit-HepPh                                8.8432
ted_A                                    6.5221
ted_A_unscaled                           6.2372
ncvxqp5                                  7.0928
OPF_10000                                4.6319
wy2010                                   8.4708
loc-Brightkite                           26.9851
helm3d01                                 7.6483
bcsstk17                                 6.1763
FEM_3D_thermal1                          6.3519
GT01R                                    4.9000
c-63                                     22.3630
cont-201                                 5.0923
TEM27623                                 6.0812
rajat15                                  38.5579
c-66b                                    34.7848
c-66                                     34.5717
nemeth12                                 3.9529
ex40                                     6.0617
tandem_dual                              4.8327
af23560                                  7.4513
epb3                                     5.9885
wathen100                                4.9949
nemeth13                                 4.2322
rajat16                                  467.0200
rajat18                                  460.7682
rajat17                                  469.1632
c-59                                     21.1912
vsp_c-60_data_cti_cs4                    16.5728
2D_54019_highK                           6.4647
g7jac140                                 8.5216
g7jac140sc                               8.1483
lung2                                    3.6614
nemeth14                                 4.5567
fxm4_6_id_1381                           6.2801
std1_Jac2_db                             6.5067
ncvxqp3                                  10.5702
soc-Epinions1                            32.2650
t3dl_a                                   7.0445
t3dl                                     6.9475
gridgena                                 4.4397
