dataset,exit_code,MaxMem_GB
cant,0,0.425812
pwtk,0,1.033371
offshore,0,0.517517
cage12,0,0.315334
scircuit,0,0.131786
wiki-Vote,0,0.042465
poisson3Da,0,0.059761
pdb1HYS,0,0.480946
rma10,0,0.227623
shipsec1,0,0.717018
consph,0,0.640850
filter3D,0,0.385063
mac_econ_fwd500,0,0.201973
af_shell10,0,4.620880
hood,0,1.000141
case39,0,4.631954
gupta3,0,3.571838
TSOPF_FS_b300_c2,0,9.534840
com-LiveJournal,0,58.656967
wikipedia-20070206,134,4.421444
